solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,weight_name,weight_idx,scale,weight_value
auc,10,20,0,,True,0.5,0,0.0,1.0,7.663645914151463,0.9233635408584854,172.54752529905838,8.12776246710717,0.22612572105985992,0.32052543650403736,153,20.0,20.0,301,19.62789060412993,17.986542159792183,7.14551500751377e-06,7.758249808514183,0.0,1.934640522875817,2.4052287581699345,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,11,20,0,,True,0.5,0,0.0,1.0,8.97117857008627,0.9102882142991373,171.68685054967514,9.065400254260346,0.18359635920024447,0.270312076672108,156,21.400000000000002,20.0,310,19.399637661035985,17.436557682144276,6.9632257838102596e-06,7.78536200477634,0.0,3.0860042735042734,4.0256410256410255,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,12,20,0,,True,0.5,0,0.0,1.0,11.350455267928773,0.8864954473207123,167.80811530326403,8.307331480070879,0.18632104841754923,0.2570969897856882,150,21.1,20.0,303,19.869068232023626,18.45836104034407,6.8561056839754015e-06,7.820194138297983,0.0,4.676666666666667,4.84,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,13,20,0,,True,0.5,0,0.0,1.0,7.705896143634849,0.9229410385636515,167.15543920605197,7.2431810870752935,0.19176192865879146,0.32155492320264345,158,22.1,20.0,322,19.10159004307562,17.17895387436201,7.1872671028839205e-06,7.6705252667050186,0.0,2.2267932489451474,2.9177215189873418,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,14,20,0,,True,0.5,0,0.0,1.0,10.196385462867696,0.898036145371323,164.55861440094807,7.950986891418196,0.1764938188038485,0.23835257363682416,145,19.700000000000003,20.0,294,19.893483439627236,18.776834209183715,7.09149660869283e-06,7.770100153534818,0.0,2.7408045977011497,3.6206896551724137,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,15,20,0,,True,0.5,0,0.0,1.0,10.420427094215567,0.8957957290578443,168.41958330173196,9.381062873686863,0.19571182094516745,0.2873272664104011,142,20.0,20.0,299,20.058547113793765,18.536107089164748,6.9254180613086e-06,7.857863183670222,0.0,4.03169014084507,5.070422535211268,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,16,20,0,,True,0.5,0,0.0,1.0,8.428855631309528,0.9157114436869047,181.35014734103325,8.516559123506482,0.25859580355010187,0.31439957156699716,145,19.200000000000003,20.0,291,19.934175401578372,18.549877968384155,7.0470791656917595e-06,7.785743453716334,0.0,2.786206896551724,3.4482758620689653,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,17,20,0,,True,0.5,0,0.0,1.0,8.893014034918266,0.9110698596508173,177.4719898903379,8.241224189402331,0.21191923272291624,0.2743269433696936,145,19.3,20.0,294,20.049970345553664,19.01968721829312,6.989455918684842e-06,7.777627795442543,0.0,3.6620689655172414,4.620689655172414,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,18,20,0,,True,0.5,0,0.0,1.0,10.914299303179098,0.890857006968209,181.46743642452478,8.512973340004645,0.24257073981629895,0.32710358841083276,147,19.3,20.0,292,19.661215451523884,17.50959309429574,6.967465670229963e-06,7.818480729396943,0.0,6.4727891156462585,7.510204081632653,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,19,20,0,,True,0.5,0,0.0,1.0,6.696103955042898,0.933038960449571,181.48791702424893,10.0,0.2433367181874649,0.32564473784148096,163,20.900000000000002,20.0,311,19.681234675095062,17.592307072622766,6.7308681250221945e-06,7.746567104994832,0.0,2.7689161554192228,3.3496932515337425,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
