solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn
auc,10,4,0,,False,0.5,0,0.0,1.0,1.853575944953867,0.9814642405504613,180.93613665104078,8.873816628176623,0.10190671663542344,0.19263030503010925,69,11.600000000000001,4.0,218,20.006046061442735,19.45304216766488,3.7385321157763353e-06,7.705379746253419,0.0,1.0,1.0,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,11,4,0,,False,0.5,0,0.0,1.0,2.840224396760993,0.9715977560323901,175.05664384826815,10.0,0.0733688916710691,0.1484278829179389,64,12.0,4.0,222,19.613518582621023,19.31800307395374,3.922072038049747e-06,7.772271027476209,0.0,1.3515625,1.484375,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,12,4,0,,False,0.5,0,0.0,1.0,4.274136487211521,0.9572586351278848,181.72804962597925,7.458417146580519,0.14712694505237042,0.23305533979757964,49,11.600000000000001,4.0,209,20.030939149018387,19.39762915379726,4.0435407019128945e-06,7.73071118678853,0.0,1.3639455782312924,1.5714285714285714,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,13,4,0,,False,0.5,0,0.0,1.0,2.8087155355431714,0.9719128446445683,173.54949845345214,10.0,0.1653211646108913,0.32162914533332754,63,12.600000000000001,4.0,227,19.14385915795744,18.302314313471065,3.870484620906589e-06,7.713387161955216,0.0,1.3412698412698412,1.492063492063492,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,14,4,0,,False,0.5,0,0.0,1.0,3.291142557016302,0.967088574429837,177.8719326470439,10.0,0.06838576633858191,0.12102112722584775,70,12.700000000000001,4.0,229,19.864981296162263,19.290299924016068,3.799126589239685e-06,7.765664985880254,0.0,1.3571428571428572,1.4285714285714286,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,15,4,0,,False,0.5,0,0.0,1.0,7.528350818452445,0.9247164918154755,168.83189747206416,6.6054062810125735,0.18379629268818232,0.26704484010984353,49,11.0,4.0,211,20.5484958376496,19.359088015345,4.071563940428493e-06,7.817778826583095,0.005063291139240506,2.2244897959183674,2.4693877551020407,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,16,4,0,,False,0.5,0,0.0,1.0,2.8314736636198656,0.9716852633638013,176.06910891756874,10.0,0.05748691317715862,0.09817541341590964,66,12.0,4.0,222,19.74839275472304,19.44231456003494,3.898198113486754e-06,7.776902370811954,0.0,1.356060606060606,1.4696969696969697,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,17,4,0,,False,0.5,0,0.0,1.0,1.5831895198110457,0.9841681048018895,180.37231239052937,9.033096130258086,0.08608569059056505,0.1856401064904778,73,12.100000000000001,4.0,223,19.976487170828012,19.54312543451968,3.727354288608621e-06,7.712571022996797,0.0,1.0,1.0,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,18,4,0,,False,0.5,0,0.0,1.0,3.187111949851884,0.9681288805014812,174.11605818749842,10.0,0.03390298970337885,0.09371739556258718,70,12.5,4.0,226,19.772612391643932,19.54834546725697,3.860619415766539e-06,7.787254663192053,0.0,1.3571428571428572,1.4285714285714286,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,19,4,0,,False,0.5,0,0.0,1.0,3.6136617299474816,0.9638633827005252,178.8367785594875,10.0,0.05562793018628963,0.11664686758873825,71,11.9,4.0,220,19.79368986880394,19.49939678253207,3.6827272610521916e-06,7.681409963160515,0.0,1.3943661971830985,1.4929577464788732,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,20,4,0,,False,0.5,0,0.0,1.0,2.887975143344479,0.9711202485665552,179.75954210251734,10.0,0.08819224952144278,0.15182352495865456,63,11.3,4.0,213,20.477139355824935,20.074922222066736,3.956807426809871e-06,7.782784812693085,0.005291005291005291,1.3492063492063493,1.4761904761904763,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,21,4,0,,False,0.5,0,0.0,1.0,2.835387220347807,0.9716461277965219,176.28915662090182,10.0,0.045839537293498454,0.09333617657285628,80,12.600000000000001,4.0,227,19.84188028847432,19.508586649712743,3.622466962274763e-06,7.6749920512087435,0.0,1.0,1.0,nan,nan,1.0,30,30,C2_auc_noIR,4
