solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn,density,vph
auc,24,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,9.84889710515614,0.9015110289484386,165.73326360550374,7.521432858062275,0.2827914373630138,3.204704638797155,79,20.8,4.0,208,19.28968256212645,16.171688589495655,1.3889904948882759e-05,7.631303831326708,0.05263157894736842,3.1265822784810124,3.2278481012658227,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,25,50,0.3,0,,False,0.5,0,0.0,1.0,7.005113144493014,0.9299488685550699,168.66957386492612,7.874295336311245,0.14148264999719035,0.2238565909866751,569,63.900000000000006,50.0,740,19.653921142145983,18.589203070079915,9.12756918665223e-06,7.795138820207113,0.015118317265556529,2.4578207381370825,2.648506151142355,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,26,50,0.3,0,,False,0.5,0,0.0,1.0,8.971207487033794,0.9102879251296621,167.28327616077453,7.893781490245489,0.1671735509864812,0.26138681969425326,498,58.400000000000006,50.0,686,19.525688547354836,17.961324600324023,1.0899418022119747e-05,7.829209405453262,0.018642279282448118,3.4293842034805895,3.6325301204819276,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,27,50,0.3,0,,False,0.5,0,0.0,1.0,8.044954800852434,0.9195504519914757,168.8602874878794,8.050375126135114,0.13883381700633618,0.22753000282230743,537,60.5,50.0,700,19.59918769313134,18.193405877396792,8.930714435077139e-06,7.797773593141963,0.021136363636363637,2.6879267535692115,2.834264432029795,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,28,50,0.3,0,,False,0.5,0,0.0,1.0,6.803093721434472,0.9319690627856553,168.1415887100297,10.0,0.11562167522723038,0.19670002013055396,560,62.5,50.0,725,19.40469112906795,18.440320221862333,1.2389378509773263e-05,7.805460504550198,0.01529535864978903,2.068452380952381,2.330357142857143,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,29,50,0.3,0,,False,0.5,0,0.0,1.0,9.357369830805407,0.9064263016919459,169.14949808058054,7.963833340707724,0.18323652522298467,0.2896663677453168,516,59.5,50.0,688,19.570364263383272,17.824461849768646,9.029941751112685e-06,7.856853227969276,0.010617589807113786,3.205426356589147,3.4709302325581395,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,30,50,0.3,0,,False,0.5,0,0.0,1.0,8.589793081934927,0.9141020691806507,164.25475216027587,7.711391033763208,0.14514009647908024,0.23300421705849744,571,62.900000000000006,50.0,730,19.782403507828306,18.625915309427377,9.049725326492565e-06,7.854482450301763,0.012623490669593854,2.635726795096322,2.858143607705779,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,1,50,0.3,0,,True,0.5,0,0.0,1.0,8.140918404897057,0.9185908159510294,168.3849466522052,8.371500459162307,0.15548495106361412,0.24031305717343954,502,57.800000000000004,50.0,674,19.68437230261548,18.450618979008127,8.751779521099715e-06,7.8513863405982685,0.0,2.645750332005312,2.9322709163346614,nan,nan,1.0,30,30,C3_auc_full,50,0.3,1100
auc,2,50,0.3,0,,True,0.5,0,0.0,1.0,6.91397507845849,0.9308602492154151,166.8736583175833,9.402672678140403,0.10892206646110905,0.2237649974337047,541,61.0,50.0,710,19.611996683759802,18.40220887061415,9.292253279979799e-06,7.822036739029725,0.0,1.8889402341343189,2.1090573012939,nan,nan,1.0,30,30,C3_auc_full,50,0.3,1100
auc,3,50,0.3,0,,True,0.5,0,0.0,1.0,6.460135731601968,0.9353986426839803,168.529530602797,8.975389619708036,0.13321727220671548,0.25239152591409686,597,66.4,50.0,765,19.540587986066488,18.152935087593512,7.870196656999635e-06,7.7892299509586165,0.0,2.080122836404244,2.301507537688442,nan,nan,1.0,30,30,C3_auc_full,50,0.3,1100
